00AK	Lowell Field	Anchor Point	Alaska	US	59.949200	-151.695999
00AL	Epps Airpark	Harvest	Alabama	US	34.864799	-86.770302
00AZ	Cordes Airport	Cordes	Arizona	US	34.305599	-112.165001
00CA	Goldstone /Gts/ Airport	Barstow	California	US	35.350498	-116.888000
00CO	Cass Field	Briggsdale	Colorado	US	40.622200	-104.344002
00FA	Grass Patch Airport	Bushnell	Florida	US	28.645500	-82.219002
00FL	River Oak Airport	Okeechobee	Florida	US	27.230900	-80.969200
00GA	Lt World Airport	Lithonia	Georgia	US	33.767502	-84.068298
00ID	Delta Shores Airport	Clark Fork	Idaho	US	48.145302	-116.213997
00IL	Hammer Airport	Polo	Illinois	US	41.978401	-89.560402
00IS	Hayenga's Cant Find Farms Airport	Kings	Illinois	US	40.025600	-89.122902
00KS	Hayden Farm Airport	Gardner	Kansas	US	38.727798	-94.930496
00KY	Robbins Roost Airport	Stanford	Kentucky	US	37.409401	-84.619698
00LS	Lejeune Airport	Esterwood	Louisiana	US	30.136299	-92.429398
00MD	Slater Field	Federalsburg	Maryland	US	38.757099	-75.753799
00MN	Battle Lake Municipal Airport	Battle Lake	Minnesota	US	46.299999	-95.700302
00MO	Cooper Flying Service Airport	Alba	Missouri	US	37.202801	-94.412399
00MT	Sands Ranch Airport	Havre	Montana	US	48.537498	-109.705002
00NC	North Raleigh Airport	Louisburg	North Carolina	US	36.085201	-78.371399
00NY	Weiss Airfield	West Bloomfield	New York	US	42.900101	-77.499702
00OH	Exit 3 Airport	Wauseon	Ohio	US	41.590900	-84.142197
00PN	Ferrell Field	Mercer	Pennsylvania	US	41.299500	-80.211111
00PS	Thomas Field	Loysville	Pennsylvania	US	40.377800	-77.365303
00SC	Flying O Airport	Sumter	South Carolina	US	34.009399	-80.267197
00TN	Ragsdale Road Airport	Manchester	Tennessee	US	35.515900	-85.953598
00TS	Alpine Range Airport	Everman	Texas	US	32.607601	-97.241997
00VA	Vaughan Airport	Alton	Virginia	US	36.576000	-78.999168
00VI	Groundhog Mountain Airport	Hillsville	Virginia	US	36.663300	-80.499496
00WA	Howell Airport	Longbranch	Washington	US	47.178398	-122.772003
00WI	Northern Lite Airport	Waupaca	Wisconsin	US	44.304298	-89.050102
00WN	Hawks Run Airport	Asotin	Washington	US	46.250000	-117.249001
00WV	Lazy J. Aerodrome	Beverly	West Virginia	US	38.828899	-79.866096
00XS	L P Askew Farms Airport	O'Donnell	Texas	US	33.033401	-101.933998
01AL	Ware Island Airport	Clanton	Alabama	US	32.945999	-86.513901
01CL	Swansboro Country Airport	Placerville	California	US	38.799900	-120.734001
01FA	Rybolt Ranch Airport	Orlando	Florida	US	28.589399	-81.144203
01FL	Cedar Knoll Flying Ranch Airport	Geneva	Florida	US	28.781900	-81.159203
01GE	The Farm Airport	Wrightsville	Georgia	US	32.674400	-82.771103
01IA	Stender Airport	Maysville	Iowa	US	41.661098	-90.741302
01ID	Lava Hot Springs Airport	Lava Hot Springs	Idaho	US	42.608200	-112.031998
01II	Myers Field	Lizton	Indiana	US	39.884998	-86.506699
01IS	William E. Koenig Airport	Dow	Illinois	US	39.016201	-90.318199
01KS	Flying N Ranch Airport	Lost Springs	Kansas	US	38.540600	-97.003304
01LA	Barham Airport	Oak Ridge	Louisiana	US	32.639000	-91.773697
01LL	Schumaier Restricted Landing Area	Pinckneyville	Illinois	US	38.125801	-89.463898
01LS	Country Breeze Airport	Slaughter	Louisiana	US	30.705999	-91.077400
01MT	Crystal Lakes Resort Airport	Fortine	Montana	US	48.789101	-114.879997
01NC	Topsail Airpark	Holly Ridge	North Carolina	US	34.475300	-77.581398
01NE	Detour Airport	Wellfleet	Nebraska	US	40.843601	-100.653000
01NH	Moore Airfield	Enfield	New Hampshire	US	43.644501	-72.086998
01NM	Champion Ranch Airport	Artesia	New Mexico	US	33.008611	-104.540278
01NV	Lantana Ranch Airport	Yerington	Nevada	US	38.763901	-119.027000
01OK	Lawrence Airport	Eakly	Oklahoma	US	35.294498	-98.636497
01OR	Red & White Flying Service Airport	Silver Lake	Oregon	US	43.119301	-121.044998
01PN	Bierly(Personal Use) Airport	Bellefonte	Pennsylvania	US	40.930599	-77.738899
01PS	Nort's Resort Airport	Meshoppen	Pennsylvania	US	41.595901	-76.029602
01SC	York Airport	York	South Carolina	US	35.032101	-81.252800
01TE	Smith Field	Forney	Texas	US	32.737598	-96.428001
01TN	Colonial Air Park	Collierville	Tennessee	US	34.995899	-89.730598
01TX	Mims Farm Ultralightport	Waxahachie	Texas	US	32.387600	-96.877502
01UT	La Sal Junction Airport	La Sal	Utah	US	38.308300	-109.396004
01VA	Pickles Airport	Berryville	Virginia	US	39.125000	-77.925003
01WI	Prehn Cranberry Company Airport	Tomah	Wisconsin	US	44.009998	-90.389198
01WY	Keyhole Airport	Moorcroft	Wyoming	US	44.347198	-104.810997
02AK	Rustic Wilderness Airport	Willow	Alaska	US	61.876900	-150.098007
02AL	Bass Field	Foley	Alabama	US	30.371500	-87.764397
02AR	Three Rivers Airport	Little Rock	Arkansas	US	34.822445	-92.444420
02AZ	Winchester Farm Airstrip	Willcox	Arizona	US	32.376400	-109.936996
02CD	Shannon Field	Clarksdale	Mississippi	US	34.129601	-90.524002
02CL	Conover Air Lodge Airport	Frazier Park	California	US	34.761101	-119.058998
02CO	Mc Cullough Airport	Monte Vista	Colorado	US	37.643299	-106.046997
02FA	Osborn Airfield	Groveland	Florida	US	28.526699	-81.874802
02FL	Cuchens Airport	Defuniak Springs	Florida	US	30.642778	-86.123889
02GA	Doug Bolton Field	Commerce	Georgia	US	34.202599	-83.429001
02GE	Etowah Fields Airport	Euharlee	Georgia	US	34.175301	-84.924400
02ID	Morgan Ranch Airport	Cascade	Idaho	US	44.555500	-115.305000
02II	King Ultralightport	Westfield	Indiana	US	40.062302	-86.210503
02IN	Diamond P. Field	Muncie	Indiana	US	40.208900	-85.540802
02KS	Jmj Landing Airport	St Marys	Kansas	US	39.222198	-96.055298
02ME	Old Acton Airfield	Acton	Maine	US	43.537300	-70.929398
02MI	Fairplains Airpark	Greenville	Michigan	US	43.157101	-85.148499
02MN	Greenbush Municipal Airport	Greenbush	Minnesota	US	48.683300	-96.192001
02MO	Troy Airpark	Troy	Missouri	US	39.049999	-91.033501
02MS	Watts Field	Rochdale	Mississippi	US	34.100101	-90.846802
02MT	Barrett Field	Cascade	Montana	US	47.237400	-111.741997
02MU	Timber Line Airpark	Cassville	Missouri	US	36.654202	-93.797401
